image_link,question,answer
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What material are the pillars made of?,clay
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What traditional garment is commonly worn by men in this region?,lungi
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What aspect of the individual enhances the cultural vibe?,colorful accessories
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What inspires the patterns in the clothing of the region?,local flora
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What type of atmosphere is typical in outdoor grocery markets in South Asia?,lively atmosphere
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What feature characterizes the buyers in this scene?,brown skin tones
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What contributes to the distinct identity of the area?,flooring and aesthetic
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What type of ritual is depicted in the image?,a puja
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What does the idol in the image represent?,a deity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What material are the offerings made of?,clay
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What do the sweets in the offerings symbolize?,joy and sustenance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What does the small fire symbolize in the ceremony?,purity and the divine presence
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What are the participants doing during the puja?,performing chants or prayers
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,How is the atmosphere described in the image?,celebratory
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What garment is the goddess in the idol wearing?,a sari
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275682998_0.jpg,What does the scene encapsulate about the puja events?,religious fervor and traditions
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275858156_0.jpg,What type of clothing is the dancer wearing?,traditional ethnic wear
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275858156_0.jpg,What do the designs and fabrics of the attire symbolize?,cultural heritage and celebration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275858156_0.jpg,What does the combination of the dancer's expression and attire represent?,a multifaceted representation of beauty
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275858156_0.jpg,What does the image highlight about cultural traditions?,their significance in celebration and artistry
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275858156_0.jpg,What does the fusion of elements in the image invite the viewer to appreciate?,movement of dance and South Asian cultural attire
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275860878_0.jpg,What type of game is Ludo?,a board game
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275860878_0.jpg,What color is the upper right section of the Ludo board?,light yellow
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275860878_0.jpg,What color indicates another player's territory on the Ludo board?,red
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275860878_0.jpg,What does the board's layout and color placement contribute to?,the game's appeal
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275860878_0.jpg,What does the color-coded nature of the board signify in Ludo's gameplay?,importance of movement rules
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275894395_0.jpg,What does the event recognize?,India's rich heritage
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275894395_0.jpg,Who does the gathering honor?,"Celebrities in arts, entertainment, and sports"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275894395_0.jpg,What enhances the ambiance of the gathering?,Independent artists and performers
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275894395_0.jpg,What attire are many attendees wearing that reflects Indian culture?,Saris
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275894395_0.jpg,What type of event is this gathering described as?,A cultural celebration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276001832_0.jpg,What design reflects a modern aesthetic in the SUV?,spacious design and white upholstery
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276001832_0.jpg,What does the date inscribed on the vehicle indicate?,personal significance and contemporary context
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276001832_0.jpg,What does traversing well-known paths signify in American culture?,cultural connection to driving practices
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276001832_0.jpg,What does the imposing size of the SUV reflect about American vehicle preferences?,cultural preference for larger vehicles
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276759331_0.jpg,What type of product does the image promote?,An antiseptic cream
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276759331_0.jpg,What does the badge in the image indicate about the brand?,'90 years in business'
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276759331_0.jpg,What pattern is featured in the product's packaging?,A swirl pattern
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276759331_0.jpg,What is the primary purpose of the image?,To serve as advertisement material
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704276759331_0.jpg,What does the design aesthetic contribute to in the image?,Visual storytelling
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704279286733_0.jpg,What feeling does the photograph evoke?,nostalgia
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704279286733_0.jpg,What year is indicated in the photograph?,1990
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704279286733_0.jpg,What is the predominant color of the individuals' attire?,darker hues
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704279286733_0.jpg,What type of event does the gathering likely represent?,a celebration or commemorative event
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704279286733_0.jpg,What does the vintage style remind viewers of?,social customs and collective memories
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271064327_0.jpg,What kind of decoration does the plate have?,artistic floral decoration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271064327_0.jpg,What is the purpose of the organized table setting?,for a religious worship setting or a festive celebration
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271064327_0.jpg,What kind of food is likely served?,traditional dishes prepared during spiritual observances or festive occasions
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271064327_0.jpg,What does the tableware arrangement indicate about the occasion?,a reverence for the occasion
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271791756_0.jpg,Where is this image taken from?,a passenger cabin in an aircraft
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271791756_0.jpg,What type of design does the perspective showcase?,engineering design of modern aircraft interiors
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271791756_0.jpg,What is the function of the light fixture in the image?,to enhance ambiance and comfort
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271791756_0.jpg,What is the likely purpose of the suspended sign?,to inform passengers about safety or navigation
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714271791756_0.jpg,What does the overall composition reveal?,the intricate design elements of aviation
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,What does the monument area resemble?,India Gate
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,What does the architectural style of the monument evoke?,Granite and historical significance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,What do the height and craftsmanship of the monument reflect?,Cultural heritage and artistry
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,What do the aesthetics of the place create?,A majestic and inviting atmosphere
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,Who ensures the safety of the site?,Law enforcement personnel
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273009763_0.jpg,What does the site embody that enhances the visitor experience?,"Architecture, art, and civic pride"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What type of hat is the man wearing?,a traditional white hat
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What does the colorful shawl represent?,India's rich textile heritage
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What is the man wearing as his lower attire?,a dhoti
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What types of decorations might the man be wearing?,floral garlands and jewelry
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What does the man's choice of adornment signify?,cultural significance in weddings
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What type of event is being depicted?,a Hindu Bengali wedding
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273027689_0.jpg,What characterizes Hindu Bengali weddings?,traditional performances and feasting
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273886805_0.jpg,Who does the individual in the image resemble?,Rabindranath Tagore
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273886805_0.jpg,What type of clothing is the individual wearing?,traditional clothing
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273886805_0.jpg,What atmosphere does the image convey?,lively and dynamic
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714273886805_0.jpg,What does the image invite viewers to appreciate?,artistry and cultural heritage
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What does the communal dining experience highlight?,cultural values surrounding food and togetherness
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What type of dining setting features smaller steel bowls?,South Asian dining settings
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What staple dish is known for being nutritious and filling in South Asian cuisine?,lentils
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What type of bread is mentioned that is enjoyed with chickpea curry?,bhatura
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What does cutting food into pieces signify in many cultures?,consideration for sharing and accessibility
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,Why are stainless steel dishes favored in traditional dining?,for their durability and simplicity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714274224848_0.jpg,What cultural approach to food is emphasized in the depiction?,communal sharing and traditional dishes
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What does the stone potentially represent?,a temple
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,Which deity is represented by the stone figure?,Lord Rama
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What does Lord Rama represent in Hindu belief?,righteousness and virtue
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What does Lord Rama's presence in a temple suggest?,a place of worship and cultural heritage
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What adorns many temples in India?,intricate carvings and statues
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What do the tales recounted in temples foster?,a rich tapestry of mythological stories
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275169699_0.jpg,What does the connection to historical significance emphasize?,the importance of the stone and architecture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What do wish trees symbolize in various cultures?,moments of prayer or spiritual reflection
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What is hanging from the tree symbolizing an important aspect of the ritual?,a prominent large bead
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What items are typically included in the offerings below the wish tree?,"flowers, fruits, or other symbolic items"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What effect do the colors in the scene create?,enhance the grace of this sacred space
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What does the white cloth draped on the individual signify?,purity and simplicity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What is the possible role of the individual seated in front of the tree?,priest or pundit
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714275739049_0.jpg,What does the scene reflect about the cultural significance of religious practices in South Asia?,deep cultural significance and community spirit
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714276816881_0.jpg,What does the vibrant color of the item suggest?,luxury or warmth
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714276816881_0.jpg,Is the item likely to be imported?,yes
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714276816881_0.jpg,When is this piece typically used?,on special occasions
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714276816881_0.jpg,Does the item have a story behind its creation?,yes
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277092822_0.jpg,What type of dish is represented in the image?,a traditional dish from a roadside food stall
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277092822_0.jpg,What type of item is the greasy stick in the bowl?,a fried or breaded delicacy
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277092822_0.jpg,What kind of food atmosphere does the dish represent?,comfort food from markets and roadside vendors
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277092822_0.jpg,What does this dish exemplify in terms of culinary experience?,richness of street cuisine
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What is this dish connected to?,culture and community
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What do the surrounding flowers symbolize?,beauty and joy
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What does the attention to detail suggest about the gathering?,artistry and effort
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What is another role of food beside nourishing the body?,fostering connection and joy
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What does the presentation invite people to do?,partake in a cultural dialogue
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277387255_0.jpg,What is the potato stir-fry seasoned with?,a blend of South Asian spices
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277496726_0.jpg,What does the presence of concrete indicate about the setting?,an urban or industrial setting
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277496726_0.jpg,What do candles symbolize in various traditions?,"hope, light in darkness, or moments of remembrance"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277561307_0.jpg,What type of restaurant is depicted in the scene?,A South Asian restaurant
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277561307_0.jpg,What dessert is served in the bowl?,Gulab jamun
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277561307_0.jpg,What type of container is the dish served in?,A steel container
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277561307_0.jpg,What impression does the overall scene convey?,A sense of culinary tradition
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714277561307_0.jpg,What quality of the dessert highlights its cultural significance?,Sweetness and comfort
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278234543_0.jpg,What type of vegetables are present in the bowl?,Julian-cut red vegetables
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278234543_0.jpg,What effect does the illumination have on the bowl's contents?,An intriguing visual effect
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278234543_0.jpg,How is the connection between the components described?,Elusive
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278234543_0.jpg,What does the scene encourage viewers to do regarding the dish?,Ponder its cohesive nature
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What type of setting does the location resemble?,a ceremonial setting
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What are the traditional metallic platters used during rituals called?,thalis
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What do the flower offerings symbolize?,devotion and purity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What does the bright red cloth represent in rituals?,auspiciousness
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What is prominently placed at the center of the setup?,a picture of a deity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What do the surrounding white flowers symbolize?,peace and purity
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714278652937_0.jpg,What ritual is illustrated by all the elements?,puja
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What is the name of the dish and where is it popular?,"'golgappa', Bangladesh"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What is the flavor profile of the curry?,tangy and spicy
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,How are the fritters prepared?,deep-fried
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What can be paired with the fritters to enhance their taste?,"rich, sweet sugar syrup"
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What does the combination of sweet fritters and spiced curry create?,a memorable gastronomic experience
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What does the dish embody in terms of food culture?,vibrant food culture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279221210_0.jpg,What culinary tradition is connected to the boondi dessert?,South Asian culinary tradition
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279255456_0.jpg,What expression do the flower's petals exhibit?,a melancholic expression
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279255456_0.jpg,What does the juxtaposition in the image highlight?,emotional complexity of nature
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279255456_0.jpg,What does the background consist of?,trees merging with the bright sky
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279255456_0.jpg,What does the image explore?,multiple emotions of nature
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279342410_0.jpg,What does the statue wear that symbolizes nobility in South Asian cultures?,a turban
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279342410_0.jpg,What type of clothing enhances the statue's cultural authenticity?,long-sleeved clothing
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279342410_0.jpg,What traditional garments is the statue wearing on its lower half?,a lungi and a panjabi
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687714279342410_0.jpg,What effect does the arrangement of elements in the scene have on the atmosphere?,a serene and contemplative atmosphere
